;name;dataset;size;train_index;anomalous;events;anomaly_rate;first
0;001_NAB_id_1_Facility_tr_1007_1st_2014;NAB;4031;1007;343;6;0.08509054825105433;2014
1;002_NAB_id_2_WebService_tr_1500_1st_4106;NAB;6000;1500;637;3;0.10616666666666667;4106
2;003_NAB_id_3_WebService_tr_1362_1st_1462;NAB;15852;1362;1523;7;0.09607620489528135;1462
3;004_NAB_id_4_Facility_tr_1007_1st_1437;NAB;4031;1007;402;3;0.09972711485983626;1437
4;005_NAB_id_5_Traffic_tr_594_1st_1645;NAB;2379;594;238;3;0.10004203446826397;1645
5;006_NAB_id_6_Traffic_tr_2579_1st_5839;NAB;10319;2579;1030;11;0.09981587363116581;5839
6;007_NAB_id_7_Traffic_tr_624_1st_2087;NAB;2499;624;248;5;0.09923969587835134;2087
7;008_NAB_id_8_Synthetic_tr_1007_1st_2734;NAB;4031;1007;402;3;0.09972711485983626;2734
8;009_NAB_id_9_Traffic_tr_500_1st_438;NAB;2161;500;216;3;0.0999537251272559;438
9;010_NAB_id_10_WebService_tr_500_1st_271;NAB;1000;500;148;6;0.148;271
10;011_NAB_id_11_Facility_tr_1007_1st_1526;NAB;4031;1007;474;3;0.11758868767055321;1526
11;012_NAB_id_12_Synthetic_tr_1007_1st_2787;NAB;4031;1007;513;3;0.12726370627635822;2787
12;013_NAB_id_13_Traffic_tr_623_1st_2084;NAB;2494;623;248;5;0.09943865276663993;2084
13;014_NAB_id_14_WebService_tr_500_1st_1045;NAB;1537;500;152;3;0.0988939492517892;1045
14;015_NAB_id_15_Synthetic_tr_1007_1st_2787;NAB;4031;1007;513;3;0.12726370627635822;2787
15;016_NAB_id_16_Environment_tr_1816_1st_3540;NAB;7266;1816;724;5;0.09964216900633086;3540
16;017_NAB_id_17_Synthetic_tr_1007_1st_1805;NAB;4031;1007;402;3;0.09972711485983626;1805
17;018_NAB_id_18_Facility_tr_500_1st_669;NAB;1881;500;188;5;0.09994683678894205;669
18;019_NAB_id_19_Facility_tr_1007_1st_1171;NAB;4031;1007;400;5;0.09923096005953858;1171
19;020_NAB_id_20_Synthetic_tr_1007_1st_2679;NAB;4031;1007;621;3;0.15405606549243364;2679
20;021_NAB_id_21_WebService_tr_500_1st_565;NAB;1623;500;160;5;0.09858287122612445;565
21;022_NAB_id_22_Facility_tr_1007_1st_2980;NAB;4031;1007;520;5;0.12900024807740015;2980
22;023_NAB_id_23_Facility_tr_4512_1st_16551;NAB;18049;4512;1498;2;0.0829962878829852;16551
23;024_NAB_id_24_Synthetic_tr_1007_1st_2787;NAB;4031;1007;513;3;0.12726370627635822;2787
24;025_NAB_id_25_WebService_tr_3958_1st_4614;NAB;15832;3958;1580;5;0.0997978777160182;4614
25;026_NAB_id_26_Traffic_tr_624_1st_2261;NAB;2499;624;238;2;0.09523809523809523;2261
26;027_NAB_id_27_Facility_tr_757_1st_2582;NAB;3031;757;200;3;0.06598482349059716;2582
27;028_NAB_id_28_Facility_tr_1007_1st_3447;NAB;4031;1007;430;3;0.10667328206400396;3447
28;029_WSD_id_1_WebService_tr_4559_1st_10201;WSD;18236;4559;26;3;0.0014257512612415003;10201
29;030_WSD_id_2_WebService_tr_4499_1st_4599;WSD;18084;4499;88;15;0.004866180048661801;4599
30;031_WSD_id_3_WebService_tr_826_1st_926;WSD;18236;826;39;3;0.0021386268918622505;926
31;032_WSD_id_4_WebService_tr_4559_1st_11822;WSD;10686;4559;32;5;0.0029945723376380313;11822
32;033_WSD_id_5_WebService_tr_4559_1st_12588;WSD;18236;4559;14;3;0.0007677122175915771;12588
33;034_WSD_id_6_WebService_tr_4559_1st_8461;WSD;18236;4559;188;9;0.010309278350515464;8461
34;035_WSD_id_7_WebService_tr_4555_1st_11911;WSD;18220;4555;32;7;0.001756311745334797;11911
35;036_WSD_id_8_WebService_tr_4504_1st_6898;WSD;18016;4504;6;5;0.0003330373001776199;6898
36;037_WSD_id_9_WebService_tr_4583_1st_6214;WSD;18334;4583;46;7;0.002508999672739173;6214
37;038_WSD_id_10_WebService_tr_4042_1st_4142;WSD;18084;4042;66;13;0.0036496350364963502;4142
38;039_WSD_id_11_WebService_tr_1746_1st_1846;WSD;18219;1746;132;15;0.0072451835995389425;1846
39;040_WSD_id_12_WebService_tr_4559_1st_9714;WSD;18236;4559;41;9;0.0022483000658039044;9714
40;041_WSD_id_13_WebService_tr_4296_1st_5196;WSD;17186;4296;156;15;0.009077155824508321;5196
41;042_WSD_id_14_WebService_tr_3015_1st_3115;WSD;18308;3015;121;25;0.006609132619619838;3115
42;043_WSD_id_15_WebService_tr_4521_1st_6828;WSD;18085;4521;6;5;0.00033176665745092616;6828
43;044_WSD_id_16_WebService_tr_4559_1st_6975;WSD;18236;4559;32;3;0.001754770783066462;6975
44;045_WSD_id_17_WebService_tr_2566_1st_2666;WSD;18236;2566;6;5;0.0003290195218249616;2666
45;046_WSD_id_18_WebService_tr_2357_1st_2457;WSD;18220;2357;130;23;0.007135016465422613;2457
46;047_WSD_id_19_WebService_tr_4559_1st_16362;WSD;18236;4559;14;3;0.0007677122175915771;16362
47;048_WSD_id_20_WebService_tr_4559_1st_11813;WSD;18236;4559;53;5;0.0029063391094538275;11813
48;049_WSD_id_21_WebService_tr_4297_1st_7097;WSD;17189;4297;31;7;0.0018034789691081506;7097
49;050_WSD_id_22_WebService_tr_4559_1st_12816;WSD;18236;4559;23;3;0.0012612415003290195;12816
50;051_WSD_id_23_WebService_tr_3919_1st_5154;WSD;15676;3919;60;9;0.003827507017096198;5154
51;052_WSD_id_24_WebService_tr_4559_1st_9102;WSD;18236;4559;34;5;0.001864443957008116;9102
52;053_WSD_id_25_WebService_tr_4559_1st_9198;WSD;18236;4559;13;3;0.0007128756306207501;9198
53;054_WSD_id_26_WebService_tr_2409_1st_2509;WSD;18391;2409;66;11;0.003588711869936382;2509
54;055_WSD_id_27_WebService_tr_3768_1st_3868;WSD;18191;3768;103;17;0.005662140618987411;3868
55;056_WSD_id_28_WebService_tr_4559_1st_9689;WSD;18236;4559;38;3;0.0020837903048914236;9689
56;057_WSD_id_29_WebService_tr_2229_1st_2329;WSD;18236;2229;29;3;0.001590261022153981;2329
57;058_WSD_id_30_WebService_tr_1136_1st_1236;WSD;18236;1136;8;3;0.0004386926957666155;1236
58;059_WSD_id_31_WebService_tr_4559_1st_9058;WSD;18236;4559;25;3;0.0013709146742706734;9058
59;060_WSD_id_32_WebService_tr_4576_1st_4766;WSD;18305;4576;102;17;0.005572248019666758;4766
60;061_WSD_id_33_WebService_tr_4559_1st_9722;WSD;18236;4559;30;7;0.001645097609124808;9722
61;062_WSD_id_34_WebService_tr_3371_1st_3471;WSD;18236;3371;160;33;0.00877385391533231;3471
62;063_WSD_id_35_WebService_tr_2290_1st_2390;WSD;18236;2290;67;7;0.003674051327045405;2390
63;064_WSD_id_36_WebService_tr_4559_1st_10195;WSD;18236;4559;25;3;0.0013709146742706734;10195
64;065_WSD_id_37_WebService_tr_3451_1st_3551;WSD;18236;3451;199;5;0.01091248080719456;3551
65;066_WSD_id_38_WebService_tr_3320_1st_3420;WSD;18302;3320;112;17;0.006119549775980767;3420
66;067_WSD_id_39_WebService_tr_4559_1st_13973;WSD;18236;4559;48;3;0.002632156174599693;13973
67;068_WSD_id_40_WebService_tr_4549_1st_13322;WSD;18197;4549;29;5;0.001593669286146068;13322
68;069_WSD_id_41_WebService_tr_4548_1st_13988;WSD;18192;4548;13;3;0.0007145998240985048;13988
69;070_WSD_id_42_WebService_tr_2102_1st_2202;WSD;11686;2102;79;13;0.006760225911346911;2202
70;071_WSD_id_43_WebService_tr_3387_1st_3487;WSD;18236;3387;2095;15;0.11488264970388243;3487
71;072_WSD_id_44_WebService_tr_1691_1st_1791;WSD;12500;1691;187;9;0.01496;1791
72;073_WSD_id_45_WebService_tr_3392_1st_3492;WSD;15000;3392;268;5;0.017866666666666666;3492
73;074_WSD_id_46_WebService_tr_990_1st_1090;WSD;18236;990;290;43;0.015902610221539812;1090
74;075_WSD_id_47_WebService_tr_3296_1st_3468;WSD;13186;3296;35;9;0.002654330350371606;3468
75;076_WSD_id_48_WebService_tr_3821_1st_7083;WSD;15285;3821;9;5;0.0005888125613346418;7083
76;077_WSD_id_49_WebService_tr_3310_1st_3716;WSD;13243;3310;59;13;0.0044551838707241566;3716
77;078_WSD_id_50_WebService_tr_2449_1st_2549;WSD;18381;2449;73;13;0.003971492301833415;2549
78;079_WSD_id_51_WebService_tr_4559_1st_10672;WSD;18236;4559;27;5;0.0014805878482123272;10672
79;080_WSD_id_52_WebService_tr_1538_1st_1638;WSD;18307;1538;96;31;0.005243895777571421;1638
80;081_WSD_id_53_WebService_tr_4559_1st_8448;WSD;18236;4559;204;7;0.011186663742048695;8448
81;082_WSD_id_54_WebService_tr_4437_1st_4805;WSD;17748;4437;141;11;0.007944557133198107;4805
82;083_WSD_id_55_WebService_tr_4599_1st_4863;WSD;18397;4599;616;5;0.03348372017176714;4863
83;084_WSD_id_56_WebService_tr_4559_1st_9616;WSD;18236;4559;63;3;0.0034547049791620967;9616
84;085_WSD_id_57_WebService_tr_780_1st_880;WSD;15403;780;203;49;0.013179250795299618;880
85;086_WSD_id_58_WebService_tr_4436_1st_9529;WSD;17746;4436;23;9;0.0012960667192606784;9529
86;087_WSD_id_59_WebService_tr_4559_1st_12600;WSD;18236;4559;11;3;0.0006032024566790963;12600
